Notes,Ten-Year Age Groups,Ten-Year Age Groups Code,State,State Code,County,County Code,Race,Race Code,Year,Year Code,Deaths,Population,Crude Rate
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2008,2008,15,45110,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2009,2009,19,45138,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2010,2010,10,45535,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2011,2011,11,45811,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2012,2012,14,45513,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2013,2013,17,45036,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2014,2014,17,44818,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2015,2015,11,44400,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2016,2016,22,43316,50.8
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2017,2017,27,42443,63.6
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2018,2018,18,40683,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,Black or African American,2054-5,2019,2019,19,39497,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,1999,1999,25,141129,17.7
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2000,2000,24,142857,16.8
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2001,2001,27,143761,18.8
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2002,2002,38,141781,26.8
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2003,2003,39,140527,27.8
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2004,2004,29,139194,20.8
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2005,2005,46,138557,33.2
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2006,2006,53,137316,38.6
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2007,2007,33,136110,24.2
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2008,2008,38,135241,28.1
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2009,2009,19,133496,Unreliable
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2010,2010,23,132734,17.3
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2011,2011,21,132791,15.8
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2012,2012,40,132512,30.2
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2013,2013,30,134167,22.4
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2014,2014,25,135159,18.5
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2015,2015,36,135552,26.6
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2016,2016,65,134896,48.2
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2017,2017,53,133920,39.6
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2018,2018,47,129225,36.4
,45-54 years,45-54,New York,36,"New York County, NY",36061,White,2106-3,2019,2019,36,126371,28.5
,45-54 years,45-54,New York,36,"Niagara County, NY",36063,White,2106-3,2010,2010,11,32688,Unreliable
,45-54 years,45-54,New York,36,"Niagara County, NY",36063,White,2106-3,2016,2016,11,27408,Unreliable
,45-54 years,45-54,New York,36,"Oneida County, NY",36065,White,2106-3,2015,2015,11,29411,Unreliable
,45-54 years,45-54,New York,36,"Oneida County, NY",36065,White,2106-3,2016,2016,12,28546,Unreliable
,45-54 years,45-54,New York,36,"Oneida County, NY",36065,White,2106-3,2017,2017,14,27710,Unreliable
,45-54 years,45-54,New York,36,"Oneida County, NY",36065,White,2106-3,2019,2019,10,25290,Unreliable
,45-54 years,45-54,New York,36,"Onondaga County, NY",36067,White,2106-3,2007,2007,12,62451,Unreliable
,45-54 years,45-54,New York,36,"Onondaga County, NY",36067,White,2106-3,2008,2008,13,62485,Unreliable
,45-54 years,45-54,New York,36,"Onondaga County, NY",36067,White,2106-3,2009,2009,15,62758,Unreliable
,45-54 years,45-54,New York,36,"Onondaga County, NY",36067,White,2106-3,2011,2011,13,61647,Unreliable
,45-54 years,45-54,New York,36,"Onondaga County, NY",36067,White,2106-3,2012,2012,10,60392,Unreliable
,45-54 years,45-54,New York,36,"Onondaga County, NY",36067,White,2106-3,2013,2013,11,58933,Unreliable
,45-54 years,45-54,New York,36,"Onondaga County, NY",36067,White,2106-3,2014,2014,22,57443,38.3
,45-54 years,45-54,New York,36,"Onondaga County, NY",36067,White,2106-3,2015,2015,14,55952,Unreliable
,45-54 years,45-54,New York,36,"Onondaga County, NY",36067,White,2106-3,2016,2016,37,54284,68.2
,45-54 years,45-54,New York,36,"Onondaga County, NY",36067,White,2106-3,2017,2017,12,52069,Unreliable
,45-54 years,45-54,New York,36,"Onondaga County, NY",36067,White,2106-3,2018,2018,14,49718,Unreliable
,45-54 years,45-54,New York,36,"Onondaga County, NY",36067,White,2106-3,2019,2019,26,47411,54.8
,45-54 years,45-54,New York,36,"Orange County, NY",36071,White,2106-3,2008,2008,10,48639,Unreliable
,45-54 years,45-54,New York,36,"Orange County, NY",36071,White,2106-3,2009,2009,12,49288,Unreliable
,45-54 years,45-54,New York,36,"Orange County, NY",36071,White,2106-3,2011,2011,17,49205,Unreliable
,45-54 years,45-54,New York,36,"Orange County, NY",36071,White,2106-3,2012,2012,14,48713,Unreliable
,45-54 years,45-54,New York,36,"Orange County, NY",36071,White,2106-3,2013,2013,12,47790,Unreliable
,45-54 years,45-54,New York,36,"Orange County, NY",36071,White,2106-3,2014,2014,16,46723,Unreliable
,45-54 years,45-54,New York,36,"Orange County, NY",36071,White,2106-3,2015,2015,11,46057,Unreliable
,45-54 years,45-54,New York,36,"Orange County, NY",36071,White,2106-3,2017,2017,16,43911,Unreliable
,45-54 years,45-54,New York,36,"Orange County, NY",36071,White,2106-3,2018,2018,22,42095,52.3
,45-54 years,45-54,New York,36,"Orange County, NY",36071,White,2106-3,2019,2019,11,40503,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2002,2002,16,65856,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2003,2003,11,66822,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2004,2004,10,67698,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2005,2005,17,68782,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2006,2006,18,69462,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2007,2007,12,70269,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2008,2008,10,71326,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2010,2010,10,73618,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2011,2011,11,74021,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2013,2013,14,74443,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2016,2016,16,72405,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2017,2017,24,71452,33.6
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2018,2018,15,67999,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,Black or African American,2054-5,2019,2019,13,65071,Unreliable
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,1999,1999,34,158934,21.4
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2000,2000,23,160802,14.3
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2001,2001,31,162682,19.1
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2002,2002,27,160902,16.8
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2003,2003,41,160460,25.6
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2004,2004,28,159298,17.6
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2005,2005,40,158808,25.2
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2006,2006,41,157672,26
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2007,2007,40,156775,25.5
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2008,2008,29,155813,18.6
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2009,2009,38,155880,24.4
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2010,2010,37,154816,23.9
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2011,2011,29,154405,18.8
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2012,2012,38,153975,24.7
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2013,2013,32,153940,20.8
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2014,2014,24,153819,15.6
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2015,2015,43,153429,28
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2016,2016,34,150846,22.5
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2017,2017,54,149206,36.2
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2018,2018,44,143103,30.7
,45-54 years,45-54,New York,36,"Queens County, NY",36081,White,2106-3,2019,2019,31,139424,22.2
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2002,2002,11,55045,Unreliable
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2005,2005,17,56458,Unreliable
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2006,2006,16,56773,Unreliable
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2007,2007,11,56771,Unreliable
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2008,2008,17,57129,Unreliable
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2009,2009,16,57384,Unreliable
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2010,2010,19,57216,Unreliable
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2011,2011,22,56767,38.8
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2012,2012,25,56050,44.6
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2013,2013,23,55351,41.6
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2014,2014,22,54607,40.3
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2015,2015,20,54013,37
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2016,2016,35,53456,65.5
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2017,2017,17,52373,Unreliable
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2018,2018,27,50514,53.5
,45-54 years,45-54,New York,36,"Richmond County, NY",36085,White,2106-3,2019,2019,26,49071,53
,45-54 years,45-54,New York,36,"Rockland County, NY",36087,White,2106-3,2013,2013,11,34110,Unreliable
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,1999,1999,14,176409,Unreliable
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2001,2001,14,186607,Unreliable
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2006,2006,46,203282,22.6
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2007,2007,55,206902,26.6
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2008,2008,62,211140,29.4
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2009,2009,45,215599,20.9
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2010,2010,48,217882,22
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2011,2011,72,218273,33
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2012,2012,68,217534,31.3
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2013,2013,66,215983,30.6
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2014,2014,67,213191,31.4
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2015,2015,62,209139,29.6
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2016,2016,56,203351,27.5
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2017,2017,86,197308,43.6
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2018,2018,89,189293,47
,45-54 years,45-54,New York,36,"Suffolk County, NY",36103,White,2106-3,2019,2019,52,181148,28.7
,45-54 years,45-54,New York,36,"Sullivan County, NY",36105,White,2106-3,2019,2019,10,8486,Unreliable
,45-54 years,45-54,New York,36,"Ulster County, NY",36111,White,2106-3,2018,2018,11,22048,Unreliable
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,Black or African American,2054-5,2016,2016,13,24033,Unreliable
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2001,2001,12,108641,Unreliable
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2006,2006,15,113097,Unreliable
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2007,2007,14,113981,Unreliable
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2008,2008,23,114795,20
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2009,2009,24,115823,20.7
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2010,2010,14,115840,Unreliable
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2011,2011,18,115557,Unreliable
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2012,2012,24,114593,20.9
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2013,2013,20,114023,17.5
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2014,2014,26,113010,23
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2015,2015,24,112138,21.4
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2016,2016,25,109586,22.8
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2017,2017,26,107291,24.2
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2018,2018,37,103569,35.7
,45-54 years,45-54,New York,36,"Westchester County, NY",36119,White,2106-3,2019,2019,27,100718,26.8
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2001,2001,10,43696,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2005,2005,12,50869,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2009,2009,14,56879,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2011,2011,11,61072,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2012,2012,10,63307,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2013,2013,15,65588,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2014,2014,10,68576,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2015,2015,16,71238,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2016,2016,31,72891,42.5
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2017,2017,42,75336,55.8
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2018,2018,47,76315,61.6
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,Black or African American,2054-5,2019,2019,62,77807,79.7
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2004,2004,18,59524,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2005,2005,10,60240,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2006,2006,15,61270,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2007,2007,20,61719,32.4
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2008,2008,17,62285,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2009,2009,19,63420,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2010,2010,10,64628,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2011,2011,15,65946,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2012,2012,21,66563,31.5
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2013,2013,18,67389,Unreliable
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2014,2014,21,68608,30.6
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2015,2015,28,70071,40
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2016,2016,42,69726,60.2
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2017,2017,53,71340,74.3
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2018,2018,59,70778,83.4
,55-64 years,55-64,New York,36,"Bronx County, NY",36005,White,2106-3,2019,2019,65,70699,91.9
,55-64 years,55-64,New York,36,"Broome County, NY",36007,White,2106-3,2016,2016,11,25912,Unreliable
,55-64 years,55-64,New York,36,"Dutchess County, NY",36027,White,2106-3,2010,2010,10,32852,Unreliable
,55-64 years,55-64,New York,36,"Dutchess County, NY",36027,White,2106-3,2015,2015,10,37126,Unreliable
,55-64 years,55-64,New York,36,"Dutchess County, NY",36027,White,2106-3,2018,2018,12,38741,Unreliable
,55-64 years,55-64,New York,36,"Erie County, NY",36029,Black or African American,2054-5,2016,2016,12,15175,Unreliable
,55-64 years,55-64,New York,36,"Erie County, NY",36029,Black or African American,2054-5,2018,2018,10,15364,Unreliable
,55-64 years,55-64,New York,36,"Erie County, NY",36029,Black or African American,2054-5,2019,2019,10,15253,Unreliable
,55-64 years,55-64,New York,36,"Erie County, NY",36029,White,2106-3,2008,2008,12,96033,Unreliable
,55-64 years,55-64,New York,36,"Erie County, NY",36029,White,2106-3,2009,2009,10,98997,Unreliable
,55-64 years,55-64,New York,36,"Erie County, NY",36029,White,2106-3,2011,2011,11,105810,Unreliable
,55-64 years,55-64,New York,36,"Erie County, NY",36029,White,2106-3,2012,2012,10,106755,Unreliable
,55-64 years,55-64,New York,36,"Erie County, NY",36029,White,2106-3,2013,2013,13,109188,Unreliable
,55-64 years,55-64,New York,36,"Erie County, NY",36029,White,2106-3,2014,2014,23,111032,20.7
,55-64 years,55-64,New York,36,"Erie County, NY",36029,White,2106-3,2015,2015,26,112721,23.1
,55-64 years,55-64,New York,36,"Erie County, NY",36029,White,2106-3,2016,2016,25,113619,22
,55-64 years,55-64,New York,36,"Erie County, NY",36029,White,2106-3,2017,2017,22,114421,19.2
,55-64 years,55-64,New York,36,"Erie County, NY",36029,White,2106-3,2018,2018,27,114042,23.7
,55-64 years,55-64,New York,36,"Erie County, NY",36029,White,2106-3,2019,2019,22,113273,19.4
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2002,2002,10,83437,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2004,2004,14,88001,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2005,2005,12,90516,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2006,2006,13,93001,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2007,2007,14,94713,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2008,2008,15,96750,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2009,2009,11,98696,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2011,2011,19,105045,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2012,2012,15,107714,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2013,2013,16,110039,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2014,2014,19,113100,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2015,2015,19,115101,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2016,2016,40,116138,34.4
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2017,2017,34,117830,28.9
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2018,2018,41,116443,35.2
,55-64 years,55-64,New York,36,"Kings County, NY",36047,Black or African American,2054-5,2019,2019,34,116098,29.3
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2004,2004,14,117315,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2005,2005,11,119875,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2006,2006,14,122699,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2007,2007,16,125397,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2008,2008,16,128189,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2009,2009,17,131362,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2010,2010,14,133747,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2011,2011,17,137045,Unreliable
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2012,2012,23,135951,16.9
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2013,2013,27,134822,20
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2014,2014,21,133864,15.7
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2015,2015,29,133381,21.7
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2016,2016,40,131650,30.4
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2017,2017,42,130439,32.2
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2018,2018,39,126939,30.7
,55-64 years,55-64,New York,36,"Kings County, NY",36047,White,2106-3,2019,2019,49,124968,39.2
,55-64 years,55-64,New York,36,"Monroe County, NY",36055,Black or African American,2054-5,2018,2018,13,12856,Unreliable
,55-64 years,55-64,New York,36,"Monroe County, NY",36055,Black or African American,2054-5,2019,2019,15,13057,Unreliable
,55-64 years,55-64,New York,36,"Monroe County, NY",36055,White,2106-3,2010,2010,10,79063,Unreliable
,55-64 years,55-64,New York,36,"Monroe County, NY",36055,White,2106-3,2012,2012,12,82068,Unreliable
,55-64 years,55-64,New York,36,"Monroe County, NY",36055,White,2106-3,2013,2013,10,83544,Unreliable
,55-64 years,55-64,New York,36,"Monroe County, NY",36055,White,2106-3,2014,2014,15,84647,Unreliable
,55-64 years,55-64,New York,36,"Monroe County, NY",36055,White,2106-3,2015,2015,16,85903,Unreliable
,55-64 years,55-64,New York,36,"Monroe County, NY",36055,White,2106-3,2016,2016,16,86639,Unreliable
,55-64 years,55-64,New York,36,"Monroe County, NY",36055,White,2106-3,2017,2017,26,87118,29.8
,55-64 years,55-64,New York,36,"Monroe County, NY",36055,White,2106-3,2018,2018,29,86957,33.3
,55-64 years,55-64,New York,36,"Monroe County, NY",36055,White,2106-3,2019,2019,24,86415,27.8
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2006,2006,14,128347,Unreliable
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2007,2007,21,131754,15.9
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2008,2008,17,134076,Unreliable
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2009,2009,20,139170,14.4
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2010,2010,16,142886,Unreliable
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2011,2011,10,147822,Unreliable
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2012,2012,18,148614,Unreliable
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2013,2013,20,149896,13.3
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2014,2014,23,151337,15.2
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2015,2015,35,153037,22.9
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2016,2016,24,153758,15.6
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2017,2017,30,154064,19.5
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2018,2018,22,153017,14.4
,55-64 years,55-64,New York,36,"Nassau County, NY",36059,White,2106-3,2019,2019,31,151705,20.4
,55-64 years,55-64,New York,36,"New York County, NY",36061,Black or African American,2054-5,2003,2003,11,30647,Unreliable
,55-64 years,55-64,New York,36,"New York County, NY",36061,Black or African American,2054-5,2005,2005,15,32126,Unreliable
,55-64 years,55-64,New York,36,"New York County, NY",36061,Black or African American,2054-5,2006,2006,14,32672,Unreliable
,55-64 years,55-64,New York,36,"New York County, NY",36061,Black or African American,2054-5,2007,2007,10,33215,Unreliable
,55-64 years,55-64,New York,36,"New York County, NY",36061,Black or African American,2054-5,2010,2010,10,35178,Unreliable
,55-64 years,55-64,New York,36,"New York County, NY",36061,Black or African American,2054-5,2013,2013,15,37888,Unreliable
,55-64 years,55-64,New York,36,"New York County, NY",36061,Black or African American,2054-5,2014,2014,12,38411,Unreliable
,55-64 years,55-64,New York,36,"New York County, NY",36061,Black or African American,2054-5,2015,2015,10,38901,Unreliable
,55-64 years,55-64,New York,36,"New York County, NY",36061,Black or African American,2054-5,2016,2016,26,38979,66.7
,55-64 years,55-64,New York,36,"New York County, NY",36061,Black or African American,2054-5,2017,2017,27,39144,69
,55-64 years,55-64,New York,36,"New York County, NY",36061,Black or African American,2054-5,2018,2018,37,38951,95
,55-64 years,55-64,New York,36,"New York County, NY",36061,Black or African American,2054-5,2019,2019,36,39401,91.4
,55-64 years,55-64,New York,36,"New York County, NY",36061,White,2106-3,1999,1999,10,98279,Unreliable
,55-64 years,55-64,New York,36,"New York County, NY",36061,White,2106-3,2001,2001,11,103382,Unreliable
,55-64 years,55-64,New York,36,"New York County, NY",36061,White,2106-3,2002,2002,14,108108,Unreliable
